Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
PFDoDA,QCN-CL,13085928,5.82,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,114.1619405,614.098,1493914934,NA,2.225398779,2.225398779,2.299583647,model_21,1.8428E+11,PFDoDA,1.61605E+11,0.009244225,5.676860038
PFDS,QCN-AL,14003902,5.93,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8205384,600.145,1649947274,NA,2.445285797,2.445285797,2.714403579,model_22,4.80408E+11,PFDS,2.66275E+11,0.006196413,3.718746512
PFDS,QCN-BL,18432010,5.92,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8205384,600.145,2171669342,NA,2.445285797,2.445285797,2.714403579,model_22,4.80408E+11,PFDS,2.66275E+11,0.008155752,4.89463386
PFDS,QCN-CL,14858407,5.92,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.8205384,600.145,1750625513,NA,2.445285797,2.445285797,2.714403579,model_22,4.80408E+11,PFDS,2.66275E+11,0.006574513,3.945660946
PFHpA,QCN-AL,3031231,3.42,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,108.2276665,364.061,328063057.7,NA,1.719397664,1.719397664,1.719142815,model_23,48410416883,PFHpA,45943479474,0.007140579,2.599606434
PFHpA,QCN-BL,3992934,3.42,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,108.2276665,364.061,432145929.3,NA,1.719397664,1.719397664,1.719142815,model_23,48410416883,PFHpA,45943479474,0.009406034,3.424370138
PFHpA,QCN-CL,3351356,3.42,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,108.2276665,364.061,362709439.4,NA,1.719397664,1.719397664,1.719142815,model_23,48410416883,PFHpA,45943479474,0.007894688,2.874148035
PFHxA,QCN-AL,1859915,2.69,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,107.0759057,314.053,199152083.1,NA,1.585040569,1.585040569,1.497531587,model_24,29081101647,PFHxA,32975560570,0.006039384,1.89668676
PFHxA,QCN-BL,2569917,2.7,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,107.0759057,314.053,275176190.3,NA,1.585040569,1.585040569,1.497531587,model_24,29081101647,PFHxA,32975560570,0.008344853,2.620725974
PFHxA,QCN-CL,2144011,2.7,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,107.0759057,314.053,229571919.6,NA,1.585040569,1.585040569,1.497531587,model_24,29081101647,PFHxA,32975560570,0.006961881,2.186399528
PFHxDA,QCN-AL,7521945,7.305,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.1199237,814.128,896013514.8,NA,2.250524521,2.250524521,2.145594387,model_25,1.29673E+11,PFHxDA,1.64054E+11,0.005461695,4.446518757
PFHxDA,QCN-BL,10263011,7.31,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.1199237,814.128,1222529088,NA,2.250524521,2.250524521,2.145594387,model_25,1.29673E+11,PFHxDA,1.64054E+11,0.007451987,6.066871124
PFHxDA,QCN-CL,8335235,7.31,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.1199237,814.128,992892557.5,NA,2.250524521,2.250524521,2.145594387,model_25,1.29673E+11,PFHxDA,1.64054E+11,0.006052226,4.927286596
PFHxS,QCN-AL,13996359,4.02,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497422,400.115,1580885140,NA,2.373934031,2.373934031,2.517913918,model_26,3.0564E+11,PFHxS,1.94094E+11,0.008144927,3.258907359
PFHxS,QCN-BL,18432729,4.02,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497422,400.115,2081971988,NA,2.373934031,2.373934031,2.517913918,model_26,3.0564E+11,PFHxS,1.94094E+11,0.010726592,4.291870206
PFHxS,QCN-CL,15557023,4.03,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497422,400.115,1757161737,NA,2.373934031,2.373934031,2.517913918,model_26,3.0564E+11,PFHxS,1.94094E+11,0.009053127,3.622291822
